dependent_variable,factor1,factor2
1,a100-299,Ctrl
0,<100,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
3,a700-1999,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
4,a300-699,Ctrl
0,2000+,Ctrl
1,a300-699,Ctrl
1,a100-299,Ctrl
3,<100,Ctrl
0,a100-299,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
3,a300-699,Ctrl
2,2000+,Ctrl
1,<100,Ctrl
4,<100,Ctrl
0,2000+,Ctrl
2,a100-299,Ctrl
3,a100-299,Ctrl
1,<100,Ctrl
2,a700-1999,Ctrl
3,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
2,a100-299,Ctrl
2,a700-1999,Ctrl
0,a300-699,Ctrl
1,a300-699,Ctrl
1,a700-1999,Ctrl
0,<100,Ctrl
2,a300-699,Ctrl
0,a300-699,Ctrl
3,<100,Ctrl
0,a700-1999,Ctrl
0,a700-1999,Ctrl
2,a100-299,Ctrl
4,<100,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
3,2000+,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
1,a700-1999,Ctrl
0,a700-1999,Ctrl
1,<100,Ctrl
3,a100-299,Ctrl
1,a100-299,Ctrl
1,a300-699,Ctrl
2,a700-1999,Ctrl
2,a700-1999,Ctrl
0,a100-299,Ctrl
1,2000+,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
0,a700-1999,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
1,a300-699,Ctrl
1,a300-699,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
2,a100-299,Ctrl
0,a300-699,Ctrl
2,a100-299,Ctrl
1,<100,Ctrl
0,a700-1999,Ctrl
2,<100,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
3,a700-1999,Ctrl
2,<100,Ctrl
1,a300-699,Ctrl
2,<100,Ctrl
3,<100,Ctrl
2,<100,Ctrl
2,<100,Ctrl
0,2000+,Ctrl
0,a300-699,Ctrl
5,a300-699,Ctrl
0,a300-699,Ctrl
4,a100-299,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
5,a300-699,Ctrl
0,a100-299,Ctrl
1,a300-699,Ctrl
4,a100-299,Ctrl
0,<100,Ctrl
2,a300-699,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
2,<100,Ctrl
1,<100,Ctrl
3,a100-299,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
2,a100-299,Ctrl
4,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,2000+,Ctrl
1,a100-299,Ctrl
7,2000+,Ctrl
4,a700-1999,Ctrl
1,a300-699,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
1,2000+,Ctrl
7,2000+,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
2,<100,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
5,a100-299,Ctrl
0,<100,Ctrl
3,a700-1999,Ctrl
2,a300-699,Ctrl
3,a700-1999,Ctrl
5,a700-1999,Ctrl
3,a100-299,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
2,a100-299,Ctrl
2,a700-1999,Ctrl
0,a300-699,Ctrl
3,<100,Ctrl
0,<100,Ctrl
3,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
2,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
1,a300-699,Ctrl
1,a300-699,Ctrl
2,a100-299,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
2,<100,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
4,a700-1999,Ctrl
1,a700-1999,Ctrl
1,<100,Ctrl
2,a700-1999,Ctrl
0,a300-699,Ctrl
2,<100,Ctrl
0,a700-1999,Ctrl
0,a700-1999,Ctrl
3,a100-299,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
1,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
1,a300-699,Ctrl
1,a300-699,Ctrl
0,a300-699,Ctrl
1,<100,Ctrl
5,a700-1999,Ctrl
4,2000+,Ctrl
2,a100-299,Ctrl
4,<100,Ctrl
2,<100,Ctrl
0,a300-699,Ctrl
1,a700-1999,Ctrl
0,2000+,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
2,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
2,a100-299,Ctrl
2,<100,Ctrl
1,a700-1999,Ctrl
0,a100-299,Ctrl
4,a300-699,Ctrl
0,<100,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
2,a700-1999,Ctrl
1,a700-1999,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
4,a100-299,Ctrl
6,a100-299,Ctrl
0,a300-699,Ctrl
4,a300-699,Ctrl
3,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
2,<100,Ctrl
0,a700-1999,Ctrl
3,<100,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
0,a300-699,Ctrl
2,2000+,Ctrl
3,a100-299,Ctrl
2,a700-1999,Ctrl
2,a100-299,Ctrl
0,<100,Ctrl
2,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
7,a100-299,Ctrl
0,2000+,Ctrl
2,<100,Ctrl
3,a700-1999,Ctrl
1,<100,Ctrl
2,a700-1999,Ctrl
2,a700-1999,Ctrl
0,a300-699,Ctrl
2,<100,Ctrl
2,<100,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
2,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
1,<100,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
1,a300-699,Ctrl
2,a100-299,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
2,a300-699,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
2,2000+,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
2,a700-1999,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
2,a300-699,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
1,a300-699,Ctrl
0,<100,Ctrl
2,<100,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
5,a700-1999,Ctrl
3,2000+,Ctrl
0,a700-1999,Ctrl
12,<100,Ctrl
0,a300-699,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
2,a300-699,Ctrl
3,a300-699,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,2000+,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
0,2000+,Ctrl
3,<100,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
2,a300-699,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
1,a700-1999,Ctrl
2,a100-299,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
3,<100,Ctrl
2,a700-1999,Ctrl
1,a100-299,Ctrl
4,<100,Ctrl
1,a700-1999,Ctrl
4,a100-299,Ctrl
0,<100,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,2000+,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
6,a300-699,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
1,2000+,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
2,a100-299,Ctrl
3,<100,Ctrl
0,<100,Ctrl
1,<100,Ctrl
1,<100,Ctrl
1,<100,Ctrl
4,a100-299,Ctrl
2,<100,Ctrl
1,a700-1999,Ctrl
1,<100,Ctrl
1,<100,Ctrl
0,a700-1999,Ctrl
0,2000+,Ctrl
1,a100-299,Ctrl
2,a100-299,Ctrl
0,2000+,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
2,a300-699,Ctrl
0,a300-699,Ctrl
2,a700-1999,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
3,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,<100,Ctrl
1,<100,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
2,a300-699,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
3,a700-1999,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
3,a300-699,Ctrl
1,a300-699,Ctrl
0,a100-299,Ctrl
2,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
2,a100-299,Ctrl
2,a300-699,Ctrl
0,a700-1999,Ctrl
1,a100-299,Ctrl
1,a700-1999,Ctrl
5,<100,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,2000+,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
5,2000+,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
5,a100-299,Ctrl
0,a700-1999,Ctrl
1,a100-299,Ctrl
2,<100,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
1,a700-1999,Ctrl
0,a700-1999,Ctrl
3,<100,Ctrl
2,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
6,<100,Ctrl
5,a100-299,Ctrl
7,<100,Ctrl
3,<100,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
2,<100,Ctrl
2,<100,Ctrl
7,<100,Ctrl
0,a300-699,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
2,a300-699,Ctrl
1,<100,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
2,a300-699,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
7,a300-699,Ctrl
2,a100-299,Ctrl
1,<100,Ctrl
2,a100-299,Ctrl
3,<100,Ctrl
2,a300-699,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
9,<100,Ctrl
0,a300-699,Ctrl
1,<100,Ctrl
6,<100,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
3,<100,Ctrl
2,a100-299,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
2,a700-1999,Ctrl
3,a700-1999,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
11,2000+,Ctrl
2,a300-699,Ctrl
5,a100-299,Ctrl
2,a100-299,Ctrl
0,a700-1999,Ctrl
3,a100-299,Ctrl
4,a100-299,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
3,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
1,a300-699,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
3,a700-1999,Ctrl
0,a100-299,Ctrl
1,a300-699,Ctrl
2,a100-299,Ctrl
0,2000+,Ctrl
1,a100-299,Ctrl
1,a700-1999,Ctrl
4,a700-1999,Ctrl
1,a700-1999,Ctrl
1,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
3,a100-299,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
0,2000+,Ctrl
1,a700-1999,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
1,a700-1999,Ctrl
2,a300-699,Ctrl
1,a300-699,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
3,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
1,2000+,Ctrl
0,a700-1999,Ctrl
3,a100-299,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,<100,Ctrl
2,2000+,Ctrl
0,a700-1999,Ctrl
2,a700-1999,Ctrl
3,a100-299,Ctrl
2,a300-699,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
3,a100-299,Ctrl
6,a300-699,Ctrl
6,a700-1999,Ctrl
2,a700-1999,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
0,a700-1999,Ctrl
0,2000+,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
2,a300-699,Ctrl
0,a700-1999,Ctrl
1,<100,Ctrl
4,a300-699,Ctrl
2,2000+,Ctrl
0,a300-699,Ctrl
5,<100,Ctrl
3,a300-699,Ctrl
2,<100,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
0,2000+,Ctrl
0,a100-299,Ctrl
2,<100,Ctrl
3,<100,Ctrl
1,<100,Ctrl
0,<100,Ctrl
1,a700-1999,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
0,a700-1999,Ctrl
1,a300-699,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
2,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
2,a100-299,Ctrl
1,<100,Ctrl
0,a300-699,Ctrl
1,a700-1999,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
1,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
5,<100,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
3,a300-699,Ctrl
1,a300-699,Ctrl
1,<100,Ctrl
0,a100-299,Ctrl
2,a700-1999,Ctrl
0,a300-699,Ctrl
1,<100,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
3,a300-699,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
2,a300-699,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
1,a700-1999,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
0,a700-1999,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
1,a700-1999,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
2,a300-699,Ctrl
1,a100-299,Ctrl
2,<100,Ctrl
0,<100,Ctrl
2,<100,Ctrl
6,a100-299,Ctrl
3,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
2,a700-1999,Ctrl
3,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
2,a700-1999,Ctrl
3,a100-299,Ctrl
8,a100-299,Ctrl
1,a700-1999,Ctrl
2,a300-699,Ctrl
2,a300-699,Ctrl
1,a700-1999,Ctrl
2,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
2,<100,Ctrl
3,a700-1999,Ctrl
1,a700-1999,Ctrl
1,a300-699,Ctrl
3,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
1,a300-699,Ctrl
2,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
2,a300-699,Ctrl
0,<100,Ctrl
1,<100,Ctrl
1,2000+,Ctrl
3,a300-699,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,2000+,Ctrl
2,a700-1999,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
2,a100-299,Ctrl
1,a100-299,Ctrl
2,<100,Ctrl
1,a100-299,Ctrl
3,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,2000+,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
1,a300-699,Ctrl
1,a700-1999,Ctrl
1,<100,Ctrl
7,<100,Ctrl
1,a700-1999,Ctrl
2,a100-299,Ctrl
0,<100,Ctrl
3,a700-1999,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
3,a100-299,Ctrl
3,a100-299,Ctrl
0,a100-299,Ctrl
1,a700-1999,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
2,a300-699,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
2,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
2,<100,Ctrl
2,<100,Ctrl
6,a700-1999,Ctrl
1,a100-299,Ctrl
1,a700-1999,Ctrl
1,<100,Ctrl
1,a300-699,Ctrl
0,a700-1999,Ctrl
3,a300-699,Ctrl
4,a100-299,Ctrl
1,a100-299,Ctrl
0,2000+,Ctrl
2,a100-299,Ctrl
5,a700-1999,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
3,<100,Ctrl
8,<100,Ctrl
2,<100,Ctrl
0,a700-1999,Ctrl
1,2000+,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
1,a300-699,Ctrl
0,a100-299,Ctrl
2,a300-699,Ctrl
0,<100,Ctrl
3,a700-1999,Ctrl
1,a700-1999,Ctrl
1,<100,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
1,<100,Ctrl
1,a700-1999,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,2000+,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,2000+,Ctrl
0,2000+,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
0,2000+,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,2000+,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
0,a700-1999,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,2000+,Ctrl
0,a700-1999,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
3,2000+,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
1,2000+,Ctrl
1,<100,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
2,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
3,a300-699,Ctrl
1,a700-1999,Ctrl
0,a300-699,Ctrl
0,a300-699,Ctrl
0,2000+,Ctrl
0,a700-1999,Ctrl
3,a100-299,Ctrl
1,a100-299,Ctrl
4,a300-699,Ctrl
1,a300-699,Ctrl
3,a300-699,Ctrl
3,<100,Ctrl
0,a100-299,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
0,a300-699,Ctrl
1,a100-299,Ctrl
0,2000+,Ctrl
0,2000+,Ctrl
0,a100-299,Ctrl
2,a300-699,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
0,<100,Ctrl
1,<100,Ctrl
2,a100-299,Ctrl
1,a100-299,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
2,<100,Ctrl
3,a100-299,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
0,<100,Ctrl
1,a100-299,Ctrl
1,<100,Ctrl
1,a100-299,Ctrl
2,a700-1999,Ctrl
0,a100-299,Ctrl
1,<100,Ctrl
2,a700-1999,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
9,a100-299,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
4,a300-699,Ctrl
1,a300-699,Ctrl
5,a100-299,Ctrl
2,a300-699,Ctrl
4,a300-699,Ctrl
0,a300-699,Ctrl
4,a100-299,Ctrl
0,a100-299,Ctrl
0,a300-699,Ctrl
1,a300-699,Ctrl
0,<100,Ctrl
0,a100-299,Ctrl
2,a100-299,Ctrl
1,a700-1999,Ctrl
2,<100,Ctrl
1,a700-1999,Ctrl
9,a700-1999,Ctrl
0,2000+,Ctrl
1,a100-299,Ctrl
10,a700-1999,Ctrl
1,a100-299,Ctrl
0,a300-699,Ctrl
2,a100-299,Ctrl
3,a300-699,Ctrl
1,a100-299,Ctrl
2,<100,Ctrl
